,,new,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength
rsa_sa58_para_fold_assembly,DSA SA-58 Para Fold Assembly,0,0.06,0,0,,,,,,,500,-1.2
rsa_sa58_polymer_humpback_stock,DSA Humpback Polymer Fixed,10,0.36,-10,-10,,,,,,,0,16.8
rsa_sa58_x_series_stock,RSA SA-58 X-Series Stock,12,0.29,-8,-8,,,,,,,500,17.4
rsa_sa58_buttpad,RSA SA-58 X-Series,1,0.05,,,,,,,,,0,0
rsa_sa58_wood_humpback_stock,DSA Humpback Polymer Fixed,9,0.39,-11,-11,,,,,,,1200,16.6
sa58_wood_stock_buttpad,SA58 Wood,1,0.03,,,,,,,,,0,0.4
rsa_sa58_pistol_qd_sling_endplate,DSA SA-58 Pistol QD Sling,5,0.05,8,8,,0.5,,,,,1000,-9.7
rsa_sa58_metric_para_folding_stock,DSA SA-58 Metric Para Folding,13,0.32,-7,-11,,,,,,,500,18.8
rsa_metric_para_buffer_tube_adapter,DSA Para Metric Buffer Tube,-3,0.05,1,2,,0.05,,,,,1000,-6.25
rsa_sa58_folding_spr_para_stock_body,DSA SA-58 Folding SPR PARA Stock Body,13,0.26,-10,-7,,-0.05,,,,,3000,20.25
rsa_sa58_folding_spr_para_stock_extendable_part,DSA SA-58 Folding SPR PARA Stock Extendable Part,,0.04,,,,,,,,,0,-0.8
rsa_sa58_folding_spr_para_stock_buttpad_mount,DSA SA-58 Folding SPR PARA Stock Buttpad Mount,,0.03,,,,,,,,,0,-0.6
rsa_sa58_folding_spr_para_stock_cheek_riser,DSA SA-58 Folding SPR PARA Stock Cheek Riser,1,0.06,,,,,,,,,0,-0.2
rsa_sa58_folding_spr_para_stock_buttpad,DSA SA-58 Folding SPR PARA Stock Buttpad,1,0.04,,,,,,,,,0,0.2
,MOE Carbine,17,0.35,-11,-10,0,0,0,0,0,0,1400,24.8
,,,,,,,,,,,,,0
,polymer,10,0.36,-10,-10,0,0,0,0,0,0,0,16.8
,wood,10,0.42,-11,-11,0,0,0,0,0,0,1200,17
,x series,13,0.34,-8,-8,0,0,0,0,0,0,500,17.4
,pistol,5,0.05,8,8,0,0.5,0,0,0,0,1000,-9.7
,para,13,0.38,-7,-11,0,0,0,0,0,0,1000,17.6
,spr,15,0.49,-10,-7,0,-0.05,0,0,0,0,3500,17.65
,buffer,14,0.46,-10,-8,0,0.05,0,0,0,0,2900,17.35
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
